Voie;Date de publication;Type;Sous-type;Note du rapport;Confiance;Fiabilité;Type de route;magvar;pubMillis;geom;uuid
Rue de Montchapet;2024-10-31T09:26:21+01:00;HAZARD;HAZARD_ON_ROAD_CONSTRUCTION;4;1;8;Rues;292;1730363181000;47.33114, 5.029967;ad8c948e-bf92-4c43-828e-4a68d0dcabbd
M971;2024-10-31T07:18:34+01:00;HAZARD;HAZARD_WEATHER_FOG;3;5;10;Primaire;112;1730355514000;47.371149, 4.956686;d26636a7-db61-42f6-b233-196ae6e6cc82
M107d;2024-10-31T08:33:25+01:00;HAZARD;HAZARD_WEATHER_FOG;0;1;10;Rue principale;222;1730360005000;47.338964, 5.128266;c736f774-4b0f-49c3-b535-c1ff47f0d879
Rue Nicolas de Staël;2024-10-31T08:29:34+01:00;HAZARD;HAZARD_ON_ROAD_CONSTRUCTION;2;2;9;Rues;352;1730359774000;47.349424, 5.040455;ba574182-59b8-407c-805d-dfc6d8d018b8
Route Nationale;2024-10-31T09:13:11+01:00;HAZARD;HAZARD_ON_ROAD_POT_HOLE;5;0;5;Primaire;281;1730362391000;47.347648, 5.18429;5ef8b074-7db9-462b-8812-a9c5e2921f92
Boulevard Maillard;2024-10-31T09:39:46+01:00;HAZARD;HAZARD_ON_ROAD_CONSTRUCTION;2;0;6;Primaire;48;1730363986000;47.306454, 5.029877;31dda144-9dc2-41ba-8bed-53dccbd0e883
;2024-10-30T17:56:01+01:00;HAZARD;HAZARD_ON_ROAD_CONSTRUCTION;0;0;5;Rues;214;1730307361000;47.212084, 5.187861;3812e3a3-20e6-464e-984d-a29e1c947f3e
Rue du Clos des Aiges;2024-08-14T11:38:51+02:00;ROAD_CLOSED;ROAD_CLOSED_EVENT;5;0;6;Rues;114;1723628331000;47.365028, 5.022087;214a687a-b24a-4f6e-bb30-eebe83cf23e6
Mail du Capitaine Guynemer;2024-01-02T13:00:10+01:00;ROAD_CLOSED;ROAD_CLOSED_EVENT;0;5;10;Rues;201;1704196810000;47.300376, 5.056781;e9a40672-dd5d-49d4-9b8d-84980bf5c22c
Rue du Clos de Bèze;2024-08-14T11:38:51+02:00;ROAD_CLOSED;ROAD_CLOSED_EVENT;5;1;9;Rues;15;1723628331000;47.364175, 5.021751;339d499f-a4b0-4c48-8d89-491616a90b13
Rue de la Stéarinerie;2024-10-28T08:49:18+01:00;ROAD_CLOSED;ROAD_CLOSED_EVENT;5;0;7;Rue principale;175;1730101758000;47.308294, 5.033849;42bb554b-9d5c-42ba-9d9a-02188274bfb9
M971;2024-10-31T08:58:10+01:00;HAZARD;HAZARD_WEATHER_FOG;0;5;10;Primaire;312;1730361490000;47.348564, 4.99202;83f177aa-5330-4cad-99f8-3379a5865d55
Rue du Clos des Aiges;2024-08-14T11:38:51+02:00;ROAD_CLOSED;ROAD_CLOSED_EVENT;5;0;7;Rues;125;1723628331000;47.365232, 5.021662;42cc8580-d5b3-42b8-9ce1-3b8505c1034e
;2024-10-31T08:50:40+01:00;JAM;;1;0;5;Pistes 4X4;166;1730361040000;47.309038, 4.878881;51eddcc7-c9d0-46d5-bb10-82db39a43883
D104;2024-10-31T07:17:17+01:00;HAZARD;HAZARD_WEATHER_FOG;3;3;10;Rue principale;67;1730355437000;47.380143, 4.942635;6e2b64fe-5152-470f-80f7-1585b0d8d60c
Rue de Montchapet;2024-10-31T09:27:00+01:00;HAZARD;HAZARD_ON_SHOULDER_CAR_STOPPED;4;0;5;Rues;290;1730363220000;47.332378, 5.027342;c16b19da-82f7-4b41-812f-befc66f7d2d1
Allée du 22 Janvier 1993;2024-10-28T17:16:37+01:00;HAZARD;HAZARD_ON_ROAD_POT_HOLE;5;4;10;Rues;315;1730132197000;47.274479, 5.056918;bce1c324-f48d-4a87-a165-969fdbb35c11
M905;2024-10-31T09:29:10+01:00;HAZARD;HAZARD_ON_ROAD_POT_HOLE;1;3;10;Autoroutes;88;1730363350000;47.303435, 5.073538;f4b88aa7-305f-4805-a756-7983a5550e0d
D10;2024-10-31T07:13:05+01:00;HAZARD;HAZARD_WEATHER_FOG;3;3;10;Rue principale;67;1730355185000;47.368332, 4.869422;8bb32c60-6f37-4c97-9f42-7d2ea32d2e6c
Place du Pressoir;2024-08-14T11:38:51+02:00;ROAD_CLOSED;ROAD_CLOSED_EVENT;5;0;6;Rues;278;1723628331000;47.365232, 5.021662;7fe21260-0847-40c3-b7ad-1619f2abc057
Rue du Docteur Schmitt;2024-10-31T09:24:31+01:00;HAZARD;HAZARD_ON_ROAD_CONSTRUCTION;5;2;10;Rue principale;188;1730363071000;47.325256, 5.073951;eb700798-13c3-4f03-bfb5-a4a3da31575a
;2024-10-31T07:36:06+01:00;HAZARD;HAZARD_WEATHER_FOG;3;1;7;Rue principale;218;1730356566000;47.329197, 4.963722;49eb365f-f063-4f99-813c-5bbed57e1c71
